test_id,disposition,blocking_class,rationale,decision_authority,required_artifact
CT-UC004-POS-01,EXECUTABLE,,Deterministic construction-neutral semantics available.,Conformance editors,mock-manifest.json
CT-UC004-NEG-01,EXECUTABLE,,Deterministic construction-neutral semantics available.,Conformance editors,mock-manifest.json
CT-UC004-NEG-02,BLOCKED-CONSTRUCTION-SELECTION,predicate-construction,Requires selected liveness or personhood construction.,Task Force,normative predicate construction decision
CT-UC004-POS-02,BLOCKED-FIXTURE,fixture,Expected behaviour is defined but no deterministic executable fixture exists.,Conformance editors,canonical fixture and assertion mapping
CT-UC006-POS-01,BLOCKED-CONSTRUCTION-SELECTION,predicate-construction,Requires selected liveness or personhood construction.,Task Force,normative predicate construction decision
CT-UC006-NEG-01,BLOCKED-CONSTRUCTION-SELECTION,predicate-construction,Requires selected liveness or personhood construction.,Task Force,normative predicate construction decision
CT-UC006-POS-02,BLOCKED-CONSTRUCTION-SELECTION,predicate-construction,Requires selected liveness or personhood construction.,Task Force,normative predicate construction decision
CT-UC006-NEG-02,BLOCKED-CONSTRUCTION-SELECTION,predicate-construction,Requires selected liveness or personhood construction.,Task Force,normative predicate construction decision
CT-UC017-POS-01,BLOCKED-FIXTURE,fixture,Expected behaviour is defined but no deterministic executable fixture exists.,Conformance editors,canonical fixture and assertion mapping
CT-UC017-NEG-01,BLOCKED-FIXTURE,fixture,Expected behaviour is defined but no deterministic executable fixture exists.,Conformance editors,canonical fixture and assertion mapping
CT-UC017-POS-02,BLOCKED-FIXTURE,fixture,Expected behaviour is defined but no deterministic executable fixture exists.,Conformance editors,canonical fixture and assertion mapping
CT-UC017-NEG-02,BLOCKED-FIXTURE,fixture,Expected behaviour is defined but no deterministic executable fixture exists.,Conformance editors,canonical fixture and assertion mapping
CT-UC020-POS-01,BLOCKED-CONSTRUCTION-SELECTION,predicate-construction,Requires selected liveness or personhood construction.,Task Force,normative predicate construction decision
CT-UC020-NEG-01,BLOCKED-CONSTRUCTION-SELECTION,predicate-construction,Requires selected liveness or personhood construction.,Task Force,normative predicate construction decision
CT-UC020-NEG-02,BLOCKED-CONSTRUCTION-SELECTION,predicate-construction,Requires selected liveness or personhood construction.,Task Force,normative predicate construction decision
CT-UC020-POS-02,BLOCKED-CONSTRUCTION-SELECTION,predicate-construction,Requires selected liveness or personhood construction.,Task Force,normative predicate construction decision
CT-UC021-POS-01,BLOCKED-CONSTRUCTION-SELECTION,predicate-construction,Requires selected liveness or personhood construction.,Task Force,normative predicate construction decision
CT-UC021-NEG-01,BLOCKED-CONSTRUCTION-SELECTION,predicate-construction,Requires selected liveness or personhood construction.,Task Force,normative predicate construction decision
CT-UC021-POS-02,BLOCKED-CONSTRUCTION-SELECTION,predicate-construction,Requires selected liveness or personhood construction.,Task Force,normative predicate construction decision
CT-UC021-NEG-02,BLOCKED-CONSTRUCTION-SELECTION,predicate-construction,Requires selected liveness or personhood construction.,Task Force,normative predicate construction decision
